Latitude, Longitude, COTotalColumn,COMixingRatio surface,COMixingRatio 900hPa,COMixingRatio 800hPa,COMixingRatio 700hPa,COMixingRatio 600hPa, COMixingRatio 500hPa,COMixingRatio 400hPa,COMixingRatio 300hPa,COMixingRatio 200hPa,COMixingRatio 100hPa,RetrievedSurfaceTemperature 
14.7756,159.435,2.49944e+18,95.355,107.327,121.984,142.809,157.396,161.117,142.589,113.069,86.3418,52.2658,299.473
14.9735,159.466,2.38906e+18,95.0532,108.089,123.744,144.847,156.849,152.251,124.689,95.0133,76.2526,50.0006,298.411
15.1718,159.496,2.31864e+18,94.0496,103.799,115.286,131.513,141.257,143.092,128.292,104.124,81.9775,50.9757,298.561
14.6084,158.992,2.56742e+18,97.2504,111.065,128.478,152.532,168.763,168.513,141.65,108.492,83.1257,51.8034,300.615
14.8072,159.021,2.56396e+18,96.3008,111.178,130.227,156.124,173.058,169.725,138.559,103.726,79.7075,50.7098,299.182
15.0059,159.051,2.5635e+18,95.9696,108.753,125.127,148.61,166.011,169.069,145.706,112.796,85.8336,52.0495,299.37
15.2049,159.081,2.65087e+18,100.889,123.628,153.235,189.986,200.024,167.823,115.098,80.8218,67.8137,47.9893,299.448
14.638,158.573,2.46972e+18,92.7782,100.317,110.305,125.404,138.505,151.319,153.127,138.269,103.289,55.792,299.976
14.8384,158.602,2.61003e+18,92.2886,98.1744,106.573,120.18,133.134,151.336,170.147,175.044,130.853,60.1787,300.418
15.0387,158.632,2.6428e+18,94.6578,103.438,115.085,132.806,149.997,167.391,170.376,150.882,109.212,56.4612,300.275
15.2394,158.662,2.65424e+18,93.4828,100.512,110.289,125.52,139.883,159.092,175.853,171.73,122.449,57.7232,299.939
14.6669,158.145,2.44155e+18,93.1467,101.974,113.38,129.388,143.071,152.953,146.877,125.473,94.2694,54.0006,299.466
14.8699,158.174,2.54964e+18,94.5614,104.007,116.242,133.104,147.657,159.96,157.333,136.941,100.79,55.1366,300.238
